Sensor ID,Date,battery,temp
1,2024-01-24 05:06:01,2.85,20.88
1,2024-01-24 05:07:31,2.85,21.12
1,2024-01-24 05:09:01,2.85,20.88
1,2024-01-24 05:10:31,2.85,20.88
1,2024-01-24 05:12:01,2.85,20.88
1,2024-01-24 05:13:31,2.85,20.88
1,2024-01-24 05:15:01,2.85,20.88
1,2024-01-24 05:16:31,2.85,20.88
1,2024-01-24 05:18:01,2.85,20.88
1,2024-01-24 05:19:31,2.86,20.88
1,2024-01-24 05:21:01,2.85,20.88
1,2024-01-24 05:22:31,2.85,20.88
1,2024-01-24 05:24:01,2.85,20.88
1,2024-01-24 05:25:31,2.85,20.88
1,2024-01-24 05:27:01,2.85,20.88
1,2024-01-24 05:29:31,2.85,20.88
1,2024-01-24 05:31:01,2.85,20.88
1,2024-01-24 05:32:31,2.85,20.88
1,2024-01-24 05:34:01,2.83,20.88
1,2024-01-24 05:35:31,2.85,20.88
1,2024-01-24 05:37:01,2.85,20.88
1,2024-01-24 05:38:31,2.85,20.88
1,2024-01-24 05:40:01,2.85,20.88
1,2024-01-24 05:41:31,2.85,20.88
1,2024-01-24 05:43:01,2.85,20.88
1,2024-01-24 05:44:31,2.85,20.88
1,2024-01-24 05:46:01,2.85,20.88
1,2024-01-24 05:47:31,2.85,20.88
1,2024-01-24 05:49:01,2.85,20.88
1,2024-01-24 05:50:31,2.85,20.88
1,2024-01-24 05:52:01,2.85,20.88
1,2024-01-24 05:53:31,2.85,20.88
1,2024-01-24 05:55:01,2.85,20.88
1,2024-01-24 05:56:31,2.85,20.88
1,2024-01-24 05:59:01,2.85,20.88
1,2024-01-24 06:00:31,2.85,20.88
1,2024-01-24 06:02:01,2.85,20.88
1,2024-01-24 06:03:31,2.85,20.88
1,2024-01-24 06:05:01,2.85,20.88
1,2024-01-24 06:06:31,2.85,20.88
1,2024-01-24 06:08:01,2.85,20.88
1,2024-01-24 06:09:31,2.85,20.88
1,2024-01-24 06:11:01,2.85,20.88
1,2024-01-24 06:12:31,2.85,20.88
1,2024-01-24 06:14:01,2.85,20.88
1,2024-01-24 06:15:31,2.85,20.88
